Date,Round,Rounds / Month,Month,Year,"Cumulative Strokes",Course,Hole,Club,Type,Dist.,Par,"Feet to YardConversion",Distance Range,Shot Distance,PGA Strokes Remaining,Strokes Gained on PGA,"%Gain",Strokes Gained on my Average,"%Gain2",Proximity Percentage compared to start distance,Green Hit,Fairway Hit,Strokes / Hole,GIR,GIRP,Par Comp.,Albatros,Eagle,Birdie,Par3,Bogey,Double Bogey,Double Bogey +,Putts per hole,Score per hole,Score per round,Pick up score,Notes
31/03/2018,1,1,3,2018,72,Lahinch (G),18,4I,FAIRWAY,249,,249,240 - 259 yards,206,3.5085,-0.291,-0.291,-0.213653061,-0.213653061,0.172690763,0,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,73,Lahinch (G),18,60,ROUGH,43,,43,40 - 59 yards,41.66666667,2.7995,0.6695,0.6695,0.770561441,0.770561441,0.031007752,1,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,74,Lahinch (G),18,P,GREEN,4,,1.333333333,4,1,1.13,-0.88,-0.88,-0.779221393,-0.779221393,0.25,,,4,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,75,Lahinch (G),18,P,GREEN,1,5,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,5,1,1,0,,,,1,,,,2,5,75,0,0
15/04/2018,2,1,4,2018,1,Lahinch (G),1,D,TEE SHOT,367,4,367,360 - 379 yards,224,3.934,-0.228,-0.228,-0.053565598,-0.053565598,0.389645777,0,0,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,2,Lahinch (G),1,PW,ROUGH,143,,143,140 - 159 yards,133,3.162,-0.018,-0.018,0.083061441,0.083061441,0.06993007,0,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,3,Lahinch (G),1,P,FAIRWAY,10,,10,0 - 19 yards,8,2.18,-0.16,-0.16,-0.082653061,-0.082653061,0.2,1,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,4,Lahinch (G),1,P,GREEN,6,,2,6,1.666666667,1.34,-0.67,-0.67,-0.569221393,-0.569221393,0.166666667,,,4,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,5,Lahinch (G),1,P,GREEN,1,4,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,5,0,1,1,,,,,1,,,2,5,,0,0
15/04/2018,2,1,4,2018,6,Lahinch (G),2,D,TEE SHOT,465,5,465,460 - 479 yards,255,4.1975,-0.0575,-0.0575,0.116934402,0.116934402,0.451612903,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,7,Lahinch (G),2,3W,FAIRWAY,210,,210,200 - 219 yards,183,3.255,-0.4015,-0.4015,-0.324153061,-0.324153061,0.128571429,0,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,8,Lahinch (G),2,60,ROUGH,27,,27,20 - 39 yards,11,2.6565,-0.8375,-0.8375,-0.736438559,-0.736438559,0.592592593,0,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,9,Lahinch (G),2,60,ROUGH,16,,16,0 - 19 yards,9.666666667,2.494,-0.376,-0.376,-0.274938559,-0.274938559,0.395833333,1,,4,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,10,Lahinch (G),2,P,GREEN,19,,6.333333333,16-20,4.666666667,1.87,-0.36,-0.36,-0.259221393,-0.259221393,0.263157895,,,5,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,11,Lahinch (G),2,P,GREEN,5,,1.666666667,5,1.333333333,1.23,-0.78,-0.78,-0.679221393,-0.679221393,0.2,,,6,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,12,Lahinch (G),2,P,GREEN,1,5,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,7,0,1,2,,,,,,1,,3,7,,0,0
15/04/2018,2,1,4,2018,13,Lahinch (G),3,3W,TEE SHOT,389,4,389,380 - 399 yards,211,3.9735,-0.0965,-0.0965,0.077934402,0.077934402,0.457583548,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,14,Lahinch (G),3,6I,FAIRWAY,178,,178,160 - 179 yards,167,3.07,0.066,0.066,0.143346939,0.143346939,0.061797753,1,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,15,Lahinch (G),3,P,GREEN,33,,11,31-40,10,2.004,-0.036,-0.036,0.064778607,0.064778607,0.090909091,,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,16,Lahinch (G),3,P,GREEN,3,4,1,3,1,1.04,0.04,0.04,0.140778607,0.140778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
15/04/2018,2,1,4,2018,17,Lahinch (G),4,D,TEE SHOT,466,5,466,460 - 479 yards,211,4.203,-0.3445,-0.3445,-0.170065598,-0.170065598,0.5472103,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,18,Lahinch (G),4,5I,FAIRWAY,255,,255,240 - 259 yards,195,3.5475,-0.1525,-0.1525,-0.075153061,-0.075153061,0.235294118,0,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,19,Lahinch (G),4,60,FAIRWAY,60,,60,60 - 79 yards,52.66666667,2.7,-0.194,-0.194,-0.116653061,-0.116653061,0.122222222,1,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,20,Lahinch (G),4,P,GREEN,22,,7.333333333,21-30,6.666666667,1.894,-0.116,-0.116,-0.015221393,-0.015221393,0.090909091,,,4,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,21,Lahinch (G),4,P,GREEN,2,5,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,5,1,1,0,,,,1,,,,2,5,,0,0
15/04/2018,2,1,4,2018,22,Lahinch (G),5,9I,TEE SHOT,133,3,133,120 - 139 yards,118,2.977,-0.493,-0.493,-0.318565598,-0.318565598,0.112781955,0,,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,23,Lahinch (G),5,60,ROUGH,15,,15,0 - 19 yards,7,2.47,-0.65,-0.65,-0.548938559,-0.548938559,0.533333333,0,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,24,Lahinch (G),5,P,FAIRWAY,8,,8,0 - 19 yards,7,2.12,0.08,0.08,0.157346939,0.157346939,0.125,1,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,25,Lahinch (G),5,P,GREEN,3,3,1,3,1,1.04,0.04,0.04,0.140778607,0.140778607,0,,,4,0,0,1,,,,,1,,,1,4,,0,0
15/04/2018,2,1,4,2018,26,Lahinch (G),6,3W,TEE SHOT,366,4,366,360 - 379 yards,221,3.932,0.0045,0.0045,0.178934402,0.178934402,0.396174863,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,27,Lahinch (G),6,9I,FAIRWAY,145,,145,140 - 159 yards,123,2.9275,-0.4925,-0.4925,-0.415153061,-0.415153061,0.151724138,0,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,28,Lahinch (G),6,60,FAIRWAY,22,,22,20 - 39 yards,16.33333333,2.42,-0.405,-0.405,-0.327653061,-0.327653061,0.257575758,1,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,29,Lahinch (G),6,P,GREEN,17,,5.666666667,16-20,5.333333333,1.825,-0.185,-0.185,-0.084221393,-0.084221393,0.058823529,,,4,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,30,Lahinch (G),6,P,GREEN,1,4,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,5,0,1,1,,,,,1,,,2,5,,0,0
15/04/2018,2,1,4,2018,31,Lahinch (G),7,3W,TEE SHOT,343,4,343,340 - 359 yards,241,3.869,0.064,0.064,0.238434402,0.238434402,0.297376093,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,32,Lahinch (G),7,54,FAIRWAY,102,,102,100 - 119 yards,101,2.805,0.765,0.765,0.842346939,0.842346939,0.009803922,1,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,33,Lahinch (G),7,P,GREEN,3,4,1,3,1,1.04,0.04,0.04,0.140778607,0.140778607,0,,,3,1,1,-1,,,1,,,,,1,3,,0,0
15/04/2018,2,1,4,2018,34,Lahinch (G),8,9I,TEE SHOT,148,3,148,140 - 159 yards,126,2.978,-0.442,-0.442,-0.267565598,-0.267565598,0.148648649,0,,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,35,Lahinch (G),8,60,FAIRWAY,22,,22,20 - 39 yards,16.66666667,2.42,-0.3825,-0.3825,-0.305153061,-0.305153061,0.242424242,1,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,36,Lahinch (G),8,P,GREEN,16,,5.333333333,16-20,5,1.8025,-0.2075,-0.2075,-0.106721393,-0.106721393,0.0625,,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,37,Lahinch (G),8,P,GREEN,1,3,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,0,1,1,,,,,1,,,2,4,,0,0
15/04/2018,2,1,4,2018,38,Lahinch (G),9,D,TEE SHOT,366,4,366,360 - 379 yards,216,3.932,-0.013,-0.013,0.161434402,0.161434402,0.409836066,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,39,Lahinch (G),9,6I,FAIRWAY,150,,150,140 - 159 yards,71,2.945,-1.0125,-1.0125,-0.935153061,-0.935153061,0.526666667,0,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,40,Lahinch (G),9,54,ROUGH,79,,79,60 - 79 yards,73,2.9575,0.11,0.11,0.211061441,0.211061441,0.075949367,1,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,41,Lahinch (G),9,P,GREEN,18,,6,16-20,5,1.8475,-0.1925,-0.1925,-0.091721393,-0.091721393,0.166666667,,,4,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,42,Lahinch (G),9,P,GREEN,3,4,1,3,1,1.04,0.04,0.04,0.140778607,0.140778607,0,,,5,0,1,1,,,,,1,,,2,5,,0,0
15/04/2018,2,1,4,2018,43,Lahinch (G),10,D,TEE SHOT,390,4,390,380 - 399 yards,230,3.975,-0.005,-0.005,0.169434402,0.169434402,0.41025641,0,1,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,44,Lahinch (G),10,9I,FAIRWAY,160,,160,160 - 179 yards,153.6666667,2.98,0.11,0.11,0.187346939,0.187346939,0.039583333,1,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,45,Lahinch (G),10,P,GREEN,19,,6.333333333,16-20,6,1.87,-0.14,-0.14,-0.039221393,-0.039221393,0.052631579,,,3,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,46,Lahinch (G),10,P,GREEN,1,4,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
15/04/2018,2,1,4,2018,47,Lahinch (G),11,PW,TEE SHOT,131,3,131,120 - 139 yards,126,2.979,0.199,0.199,0.373434402,0.373434402,0.038167939,1,,1,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,48,Lahinch (G),11,P,GREEN,15,,5,Nov-15,4.666666667,1.78,-0.23,-0.23,-0.129221393,-0.129221393,0.066666667,,,2,,,,,,,,,,,,,,0,0
15/04/2018,2,1,4,2018,49,Lahinch (G),11,P,GREEN,1,3,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,3,1,1,0,,,,1,,,,2,3,,0,0
